期权代码,交易代码,期权简称,标的代码,类型,认购/认沽,行权方式,行权价,合约单位,到期月份,上市日,到期日,行权日,行权交收日,上市首日参考价,结算方式,交易状态
10000024,510050C1506M02350,50ETF购2015年6月2.35,510050.SH,ETF期权,认购,欧式,2.350,10000,2015-06,2015-02-09,2015-06-24,2015-06-24,2015-06-25,0.2091,实物资产,退市
10000025,510050C1506M02400,50ETF购2015年6月2.40,510050.SH,ETF期权,认购,欧式,2.400,10000,2015-06,2015-02-09,2015-06-24,2015-06-24,2015-06-25,0.1885,实物资产,退市
10000026,510050P1506M02200,50ETF沽2015年6月2.20,510050.SH,ETF期权,认沽,欧式,2.200,10000,2015-06,2015-02-09,2015-06-24,2015-06-24,2015-06-25,0.1560,实物资产,退市
10000027,510050P1506M02250,50ETF沽2015年6月2.25,510050.SH,ETF期权,认沽,欧式,2.250,10000,2015-06,2015-02-09,2015-06-24,2015-06-24,2015-06-25,0.1793,实物资产,退市
10000028,510050P1506M02300,50ETF沽2015年6月2.30,510050.SH,ETF期权,认沽,欧式,2.300,10000,2015-06,2015-02-09,2015-06-24,2015-06-24,2015-06-25,0.2044,实物资产,退市
10000029,510050P1506M02350,50ETF沽2015年6月2.35,510050.SH,ETF期权,认沽,欧式,2.350,10000,2015-06,2015-02-09,2015-06-24,2015-06-24,2015-06-25,0.2313,实物资产,退市
10000030,510050P1506M02400,50ETF沽2015年6月2.40,510050.SH,ETF期权,认沽,欧式,2.400,10000,2015-06,2015-02-09,2015-06-24,2015-06-24,2015-06-25,0.2599,实物资产,退市
10000031,510050C1509M02200,50ETF购2015年9月2.20,510050.SH,ETF期权,认购,欧式,2.200,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.3536,实物资产,退市
10000032,510050C1509M02250,50ETF购2015年9月2.25,510050.SH,ETF期权,认购,欧式,2.250,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.3288,实物资产,退市
10000033,510050C1509M02300,50ETF购2015年9月2.30,510050.SH,ETF期权,认购,欧式,2.300,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.3054,实物资产,退市
10000034,510050C1509M02350,50ETF购2015年9月2.35,510050.SH,ETF期权,认购,欧式,2.350,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.2833,实物资产,退市
10000035,510050C1509M02400,50ETF购2015年9月2.40,510050.SH,ETF期权,认购,欧式,2.400,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.2626,实物资产,退市
10000036,510050P1509M02200,50ETF沽2015年9月2.20,510050.SH,ETF期权,认沽,欧式,2.200,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.2055,实物资产,退市
10000037,510050P1509M02250,50ETF沽2015年9月2.25,510050.SH,ETF期权,认沽,欧式,2.250,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.2294,实物资产,退市
10000038,510050P1509M02300,50ETF沽2015年9月2.30,510050.SH,ETF期权,认沽,欧式,2.300,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.2546,实物资产,退市
10000039,510050P1509M02350,50ETF沽2015年9月2.35,510050.SH,ETF期权,认沽,欧式,2.350,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.2813,实物资产,退市
10000040,510050P1509M02400,50ETF沽2015年9月2.40,510050.SH,ETF期权,认沽,欧式,2.400,10000,2015-09,2015-02-09,2015-09-23,2015-09-23,2015-09-24,0.3092,实物资产,退市
10000041,510050C1503M02450,50ETF购2015年3月2.45,510050.SH,ETF期权,认购,欧式,2.450,10000,2015-03,2015-02-10,2015-03-25,2015-03-25,2015-03-26,0.0571,实物资产,退市
10000042,510050P1503M02450,50ETF沽2015年3月2.45,510050.SH,ETF期权,认沽,欧式,2.450,10000,2015-03,2015-02-10,2015-03-25,2015-03-25,2015-03-26,0.1861,实物资产,退市
10000043,510050C1504M02450,50ETF购2015年4月2.45,510050.SH,ETF期权,认购,欧式,2.450,10000,2015-04,2015-02-10,2015-04-22,2015-04-22,2015-04-23,0.0829,实物资产,退市
10000044,510050P1504M02450,50ETF沽2015年4月2.45,510050.SH,ETF期权,认沽,欧式,2.450,10000,2015-04,2015-02-10,2015-04-22,2015-04-22,2015-04-23,0.2213,实物资产,退市
10000045,510050C1506M02450,50ETF购2015年6月2.45,510050.SH,ETF期权,认购,欧式,2.450,10000,2015-06,2015-02-10,2015-06-24,2015-06-24,2015-06-25,0.1462,实物资产,退市
10000046,510050P1506M02450,50ETF沽2015年6月2.45,510050.SH,ETF期权,认沽,欧式,2.450,10000,2015-06,2015-02-10,2015-06-24,2015-06-24,2015-06-25,0.2632,实物资产,退市
10000047,510050C1509M02450,50ETF购2015年9月2.45,510050.SH,ETF期权,认购,欧式,2.450,10000,2015-09,2015-02-10,2015-09-23,2015-09-23,2015-09-24,0.1925,实物资产,退市
10000048,510050P1509M02450,50ETF沽2015年9月2.45,510050.SH,ETF期权,认沽,欧式,2.450,10000,2015-09,2015-02-10,2015-09-23,2015-09-23,2015-09-24,0.3229,实物资产,退市
10000049,510050C1503M02500,50ETF购2015年3月2.50,510050.SH,ETF期权,认购,欧式,2.500,10000,2015-03,2015-02-12,2015-03-25,2015-03-25,2015-03-26,0.0430,实物资产,退市
10000050,510050P1503M02500,50ETF沽2015年3月2.50,510050.SH,ETF期权,认沽,欧式,2.500,10000,2015-03,2015-02-12,2015-03-25,2015-03-25,2015-03-26,0.1625,实物资产,退市
10000051,510050C1504M02500,50ETF购2015年4月2.50,510050.SH,ETF期权,认购,欧式,2.500,10000,2015-04,2015-02-12,2015-04-22,2015-04-22,2015-04-23,0.0672,实物资产,退市
10000052,510050P1504M02500,50ETF沽2015年4月2.50,510050.SH,ETF期权,认沽,欧式,2.500,10000,2015-04,2015-02-12,2015-04-22,2015-04-22,2015-04-23,0.1842,实物资产,退市
10000053,510050C1506M02500,50ETF购2015年6月2.50,510050.SH,ETF期权,认购,欧式,2.500,10000,2015-06,2015-02-12,2015-06-24,2015-06-24,2015-06-25,0.1169,实物资产,退市
10000054,510050P1506M02500,50ETF沽2015年6月2.50,510050.SH,ETF期权,认沽,欧式,2.500,10000,2015-06,2015-02-12,2015-06-24,2015-06-24,2015-06-25,0.2288,实物资产,退市
10000055,510050C1509M02500,50ETF购2015年9月2.50,510050.SH,ETF期权,认购,欧式,2.500,10000,2015-09,2015-02-12,2015-09-23,2015-09-23,2015-09-24,0.1712,实物资产,退市
10000056,510050P1509M02500,50ETF沽2015年9月2.50,510050.SH,ETF期权,认沽,欧式,2.500,10000,2015-09,2015-02-12,2015-09-23,2015-09-23,2015-09-24,0.2673,实物资产,退市
10000057,510050C1503M02550,50ETF购2015年3月2.55,510050.SH,ETF期权,认购,欧式,2.550,10000,2015-03,2015-02-27,2015-03-25,2015-03-25,2015-03-26,0.0279,实物资产,退市
10000058,510050P1503M02550,50ETF沽2015年3月2.55,510050.SH,ETF期权,认沽,欧式,2.550,10000,2015-03,2015-02-27,2015-03-25,2015-03-25,2015-03-26,0.1295,实物资产,退市
10000059,510050C1504M02550,50ETF购2015年4月2.55,510050.SH,ETF期权,认购,欧式,2.550,10000,2015-04,2015-02-27,2015-04-22,2015-04-22,2015-04-23,0.0554,实物资产,退市
10000060,510050P1504M02550,50ETF沽2015年4月2.55,510050.SH,ETF期权,认沽,欧式,2.550,10000,2015-04,2015-02-27,2015-04-22,2015-04-22,2015-04-23,0.1565,实物资产,退市
10000061,510050C1506M02550,50ETF购2015年6月2.55,510050.SH,ETF期权,认购,欧式,2.550,10000,2015-06,2015-02-27,2015-06-24,2015-06-24,2015-06-25,0.0979,实物资产,退市
10000062,510050P1506M02550,50ETF沽2015年6月2.55,510050.SH,ETF期权,认沽,欧式,2.550,10000,2015-06,2015-02-27,2015-06-24,2015-06-24,2015-06-25,0.1908,实物资产,退市
10000063,510050C1509M02550,50ETF购2015年9月2.55,510050.SH,ETF期权,认购,欧式,2.550,10000,2015-09,2015-02-27,2015-09-23,2015-09-23,2015-09-24,0.1515,实物资产,退市
10000064,510050P1509M02550,50ETF沽2015年9月2.55,510050.SH,ETF期权,认沽,欧式,2.550,10000,2015-09,2015-02-27,2015-09-23,2015-09-23,2015-09-24,0.2221,实物资产,退市
10000065,510050C1503M02600,50ETF购2015年3月2.60,510050.SH,ETF期权,认购,欧式,2.600,10000,2015-03,2015-03-17,2015-03-25,2015-03-25,2015-03-26,0.0059,实物资产,退市
10000066,510050P1503M02600,50ETF沽2015年3月2.60,510050.SH,ETF期权,认沽,欧式,2.600,10000,2015-03,2015-03-17,2015-03-25,2015-03-25,2015-03-26,0.0986,实物资产,退市
10000067,510050C1504M02600,50ETF购2015年4月2.60,510050.SH,ETF期权,认购,欧式,2.600,10000,2015-04,2015-03-17,2015-04-22,2015-04-22,2015-04-23,0.0411,实物资产,退市
10000068,510050P1504M02600,50ETF沽2015年4月2.60,510050.SH,ETF期权,认沽,欧式,2.600,10000,2015-04,2015-03-17,2015-04-22,2015-04-22,2015-04-23,0.1346,实物资产,退市
10000069,510050C1506M02600,50ETF购2015年6月2.60,510050.SH,ETF期权,认购,欧式,2.600,10000,2015-06,2015-03-17,2015-06-24,2015-06-24,2015-06-25,0.0897,实物资产,退市
10000070,510050P1506M02600,50ETF沽2015年6月2.60,510050.SH,ETF期权,认沽,欧式,2.600,10000,2015-06,2015-03-17,2015-06-24,2015-06-24,2015-06-25,0.1833,实物资产,退市
10000071,510050C1509M02600,50ETF购2015年9月2.60,510050.SH,ETF期权,认购,欧式,2.600,10000,2015-09,2015-03-17,2015-09-23,2015-09-23,2015-09-24,0.1464,实物资产,退市
10000072,510050P1509M02600,50ETF沽2015年9月2.60,510050.SH,ETF期权,认沽,欧式,2.600,10000,2015-09,2015-03-17,2015-09-23,2015-09-23,2015-09-24,0.2242,实物资产,退市
10000073,510050C1503M02650,50ETF购2015年3月2.65,510050.SH,ETF期权,认购,欧式,2.650,10000,2015-03,2015-03-18,2015-03-25,2015-03-25,2015-03-26,0.0035,实物资产,退市
10000074,510050P1503M02650,50ETF沽2015年3月2.65,510050.SH,ETF期权,认沽,欧式,2.650,10000,2015-03,2015-03-18,2015-03-25,2015-03-25,2015-03-26,0.1129,实物资产,退市
10000075,510050C1504M02650,50ETF购2015年4月2.65,510050.SH,ETF期权,认购,欧式,2.650,10000,2015-04,2015-03-18,2015-04-22,2015-04-22,2015-04-23,0.0336,实物资产,退市
10000076,510050P1504M02650,50ETF沽2015年4月2.65,510050.SH,ETF期权,认沽,欧式,2.650,10000,2015-04,2015-03-18,2015-04-22,2015-04-22,2015-04-23,0.1469,实物资产,退市
10000077,510050C1506M02650,50ETF购2015年6月2.65,510050.SH,ETF期权,认购,欧式,2.650,10000,2015-06,2015-03-18,2015-06-24,2015-06-24,2015-06-25,0.0866,实物资产,退市
10000078,510050P1506M02650,50ETF沽2015年6月2.65,510050.SH,ETF期权,认沽,欧式,2.650,10000,2015-06,2015-03-18,2015-06-24,2015-06-24,2015-06-25,0.1932,实物资产,退市
10000079,510050C1509M02650,50ETF购2015年9月2.65,510050.SH,ETF期权,认购,欧式,2.650,10000,2015-09,2015-03-18,2015-09-23,2015-09-23,2015-09-24,0.1312,实物资产,退市
10000080,510050P1509M02650,50ETF沽2015年9月2.65,510050.SH,ETF期权,认沽,欧式,2.650,10000,2015-09,2015-03-18,2015-09-23,2015-09-23,2015-09-24,0.2400,实物资产,退市
10000081,510050C1503M02700,50ETF购2015年3月2.70,510050.SH,ETF期权,认购,欧式,2.700,10000,2015-03,2015-03-19,2015-03-25,2015-03-25,2015-03-26,0.0049,实物资产,退市
10000082,510050P1503M02700,50ETF沽2015年3月2.70,510050.SH,ETF期权,认沽,欧式,2.700,10000,2015-03,2015-03-19,2015-03-25,2015-03-25,2015-03-26,0.0947,实物资产,退市
10000083,510050C1504M02700,50ETF购2015年4月2.70,510050.SH,ETF期权,认购,欧式,2.700,10000,2015-04,2015-03-19,2015-04-22,2015-04-22,2015-04-23,0.0391,实物资产,退市
10000084,510050P1504M02700,50ETF沽2015年4月2.70,510050.SH,ETF期权,认沽,欧式,2.700,10000,2015-04,2015-03-19,2015-04-22,2015-04-22,2015-04-23,0.1379,实物资产,退市
10000085,510050C1506M02700,50ETF购2015年6月2.70,510050.SH,ETF期权,认购,欧式,2.700,10000,2015-06,2015-03-19,2015-06-24,2015-06-24,2015-06-25,0.0868,实物资产,退市
10000086,510050P1506M02700,50ETF沽2015年6月2.70,510050.SH,ETF期权,认沽,欧式,2.700,10000,2015-06,2015-03-19,2015-06-24,2015-06-24,2015-06-25,0.1956,实物资产,退市
10000087,510050C1509M02700,50ETF购2015年9月2.70,510050.SH,ETF期权,认购,欧式,2.700,10000,2015-09,2015-03-19,2015-09-23,2015-09-23,2015-09-24,0.1347,实物资产,退市
10000088,510050P1509M02700,50ETF沽2015年9月2.70,510050.SH,ETF期权,认沽,欧式,2.700,10000,2015-09,2015-03-19,2015-09-23,2015-09-23,2015-09-24,0.2390,实物资产,退市
10000089,510050C1503M02750,50ETF购2015年3月2.75,510050.SH,ETF期权,认购,欧式,2.750,10000,2015-03,2015-03-23,2015-03-25,2015-03-25,2015-03-26,0.0006,实物资产,退市
10000090,510050P1503M02750,50ETF沽2015年3月2.75,510050.SH,ETF期权,认沽,欧式,2.750,10000,2015-03,2015-03-23,2015-03-25,2015-03-25,2015-03-26,0.1152,实物资产,退市
10000091,510050C1504M02750,50ETF购2015年4月2.75,510050.SH,ETF期权,认购,欧式,2.750,10000,2015-04,2015-03-23,2015-04-22,2015-04-22,2015-04-23,0.0368,实物资产,退市
10000092,510050P1504M02750,50ETF沽2015年4月2.75,510050.SH,ETF期权,认沽,欧式,2.750,10000,2015-04,2015-03-23,2015-04-22,2015-04-22,2015-04-23,0.1489,实物资产,退市
10000093,510050C1506M02750,50ETF购2015年6月2.75,510050.SH,ETF期权,认购,欧式,2.750,10000,2015-06,2015-03-23,2015-06-24,2015-06-24,2015-06-25,0.0901,实物资产,退市
10000094,510050P1506M02750,50ETF沽2015年6月2.75,510050.SH,ETF期权,认沽,欧式,2.750,10000,2015-06,2015-03-23,2015-06-24,2015-06-24,2015-06-25,0.2039,实物资产,退市
10000095,510050C1509M02750,50ETF购2015年9月2.75,510050.SH,ETF期权,认购,欧式,2.750,10000,2015-09,2015-03-23,2015-09-23,2015-09-23,2015-09-24,0.1352,实物资产,退市
10000096,510050P1509M02750,50ETF沽2015年9月2.75,510050.SH,ETF期权,认沽,欧式,2.750,10000,2015-09,2015-03-23,2015-09-23,2015-09-23,2015-09-24,0.2482,实物资产,退市
10000097,510050C1503M02800,50ETF购2015年3月2.80,510050.SH,ETF期权,认购,欧式,2.800,10000,2015-03,2015-03-24,2015-03-25,2015-03-25,2015-03-26,0.0003,实物资产,退市
10000098,510050P1503M02800,50ETF沽2015年3月2.80,510050.SH,ETF期权,认沽,欧式,2.800,10000,2015-03,2015-03-24,2015-03-25,2015-03-25,2015-03-26,0.1251,实物资产,退市
10000099,510050C1504M02800,50ETF购2015年4月2.80,510050.SH,ETF期权,认购,欧式,2.800,10000,2015-04,2015-03-24,2015-04-22,2015-04-22,2015-04-23,0.0400,实物资产,退市
10000100,510050P1504M02800,50ETF沽2015年4月2.80,510050.SH,ETF期权,认沽,欧式,2.800,10000,2015-04,2015-03-24,2015-04-22,2015-04-22,2015-04-23,0.1633,实物资产,退市
10000101,510050C1506M02800,50ETF购2015年6月2.80,510050.SH,ETF期权,认购,欧式,2.800,10000,2015-06,2015-03-24,2015-06-24,2015-06-24,2015-06-25,0.0870,实物资产,退市
10000102,510050P1506M02800,50ETF沽2015年6月2.80,510050.SH,ETF期权,认沽,欧式,2.800,10000,2015-06,2015-03-24,2015-06-24,2015-06-24,2015-06-25,0.2129,实物资产,退市
10000103,510050C1509M02800,50ETF购2015年9月2.80,510050.SH,ETF期权,认购,欧式,2.800,10000,2015-09,2015-03-24,2015-09-23,2015-09-23,2015-09-24,0.1340,实物资产,退市
10000104,510050P1509M02800,50ETF沽2015年9月2.80,510050.SH,ETF期权,认沽,欧式,2.800,10000,2015-09,2015-03-24,2015-09-23,2015-09-23,2015-09-24,0.2555,实物资产,退市
10000105,510050C1505M02500,50ETF购2015年5月2.50,510050.SH,ETF期权,认购,欧式,2.500,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.1744,实物资产,退市
10000106,510050C1505M02550,50ETF购2015年5月2.55,510050.SH,ETF期权,认购,欧式,2.550,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.1477,实物资产,退市
10000107,510050C1505M02600,50ETF购2015年5月2.60,510050.SH,ETF期权,认购,欧式,2.600,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.1219,实物资产,退市
10000108,510050C1505M02650,50ETF购2015年5月2.65,510050.SH,ETF期权,认购,欧式,2.650,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.1006,实物资产,退市
10000109,510050C1505M02700,50ETF购2015年5月2.70,510050.SH,ETF期权,认购,欧式,2.700,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.0792,实物资产,退市
10000110,510050P1505M02500,50ETF沽2015年5月2.50,510050.SH,ETF期权,认沽,欧式,2.500,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.0699,实物资产,退市
10000111,510050P1505M02550,50ETF沽2015年5月2.55,510050.SH,ETF期权,认沽,欧式,2.550,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.0906,实物资产,退市
10000112,510050P1505M02600,50ETF沽2015年5月2.60,510050.SH,ETF期权,认沽,欧式,2.600,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.1144,实物资产,退市
10000113,510050P1505M02650,50ETF沽2015年5月2.65,510050.SH,ETF期权,认沽,欧式,2.650,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.1408,实物资产,退市
10000114,510050P1505M02700,50ETF沽2015年5月2.70,510050.SH,ETF期权,认沽,欧式,2.700,10000,2015-05,2015-03-26,2015-05-27,2015-05-27,2015-05-28,0.1726,实物资产,退市
10000115,510050C1505M02750,50ETF购2015年5月2.75,510050.SH,ETF期权,认购,欧式,2.750,10000,2015-05,2015-03-27,2015-05-27,2015-05-27,2015-05-28,0.0722,实物资产,退市
10000116,510050P1505M02750,50ETF沽2015年5月2.75,510050.SH,ETF期权,认沽,欧式,2.750,10000,2015-05,2015-03-27,2015-05-27,2015-05-27,2015-05-28,0.1821,实物资产,退市
10000117,510050C1504M02850,50ETF购2015年4月2.85,510050.SH,ETF期权,认购,欧式,2.850,10000,2015-04,2015-03-31,2015-04-22,2015-04-22,2015-04-23,0.0399,实物资产,退市
10000118,510050P1504M02850,50ETF沽2015年4月2.85,510050.SH,ETF期权,认沽,欧式,2.850,10000,2015-04,2015-03-31,2015-04-22,2015-04-22,2015-04-23,0.1505,实物资产,退市
10000119,510050C1505M02800,50ETF购2015年5月2.80,510050.SH,ETF期权,认购,欧式,2.800,10000,2015-05,2015-03-31,2015-05-27,2015-05-27,2015-05-28,0.1011,实物资产,退市
10000120,510050C1505M02850,50ETF购2015年5月2.85,510050.SH,ETF期权,认购,欧式,2.850,10000,2015-05,2015-03-31,2015-05-27,2015-05-27,2015-05-28,0.0816,实物资产,退市
10000121,510050P1505M02800,50ETF沽2015年5月2.80,510050.SH,ETF期权,认沽,欧式,2.800,10000,2015-05,2015-03-31,2015-05-27,2015-05-27,2015-05-28,0.1565,实物资产,退市
10000122,510050P1505M02850,50ETF沽2015年5月2.85,510050.SH,ETF期权,认沽,欧式,2.850,10000,2015-05,2015-03-31,2015-05-27,2015-05-27,2015-05-28,0.1864,实物资产,退市
10000123,510050C1506M02850,50ETF购2015年6月2.85,510050.SH,ETF期权,认购,欧式,2.850,10000,2015-06,2015-03-31,2015-06-24,2015-06-24,2015-06-25,0.1023,实物资产,退市
10000124,510050P1506M02850,50ETF沽2015年6月2.85,510050.SH,ETF期权,认沽,欧式,2.850,10000,2015-06,2015-03-31,2015-06-24,2015-06-24,2015-06-25,0.2024,实物资产,退市
10000125,510050C1509M02850,50ETF购2015年9月2.85,510050.SH,ETF期权,认购,欧式,2.850,10000,2015-09,2015-03-31,2015-09-23,2015-09-23,2015-09-24,0.1557,实物资产,退市
10000126,510050P1509M02850,50ETF沽2015年9月2.85,510050.SH,ETF期权,认沽,欧式,2.850,10000,2015-09,2015-03-31,2015-09-23,2015-09-23,2015-09-24,0.2414,实物资产,退市
10000127,510050C1504M02900,50ETF购2015年4月2.90,510050.SH,ETF期权,认购,欧式,2.900,10000,2015-04,2015-04-08,2015-04-22,2015-04-22,2015-04-23,0.0542,实物资产,退市
10000128,510050C1504M02950,50ETF购2015年4月2.95,510050.SH,ETF期权,认购,欧式,2.950,10000,2015-04,2015-04-08,2015-04-22,2015-04-22,2015-04-23,0.0376,实物资产,退市
10000129,510050P1504M02900,50ETF沽2015年4月2.90,510050.SH,ETF期权,认沽,欧式,2.900,10000,2015-04,2015-04-08,2015-04-22,2015-04-22,2015-04-23,0.1219,实物资产,退市
10000130,510050P1504M02950,50ETF沽2015年4月2.95,510050.SH,ETF期权,认沽,欧式,2.950,10000,2015-04,2015-04-08,2015-04-22,2015-04-22,2015-04-23,0.1542,实物资产,退市
10000131,510050C1505M02900,50ETF购2015年5月2.90,510050.SH,ETF期权,认购,欧式,2.900,10000,2015-05,2015-04-08,2015-05-27,2015-05-27,2015-05-28,0.1173,实物资产,退市
10000132,510050C1505M02950,50ETF购2015年5月2.95,510050.SH,ETF期权,认购,欧式,2.950,10000,2015-05,2015-04-08,2015-05-27,2015-05-27,2015-05-28,0.0974,实物资产,退市
10000133,510050P1505M02900,50ETF沽2015年5月2.90,510050.SH,ETF期权,认沽,欧式,2.900,10000,2015-05,2015-04-08,2015-05-27,2015-05-27,2015-05-28,0.1731,实物资产,退市
10000134,510050P1505M02950,50ETF沽2015年5月2.95,510050.SH,ETF期权,认沽,欧式,2.950,10000,2015-05,2015-04-08,2015-05-27,2015-05-27,2015-05-28,0.2027,实物资产,退市
10000135,510050C1506M02900,50ETF购2015年6月2.90,510050.SH,ETF期权,认购,欧式,2.900,10000,2015-06,2015-04-08,2015-06-24,2015-06-24,2015-06-25,0.1486,实物资产,退市
10000136,510050C1506M02950,50ETF购2015年6月2.95,510050.SH,ETF期权,认购,欧式,2.950,10000,2015-06,2015-04-08,2015-06-24,2015-06-24,2015-06-25,0.1280,实物资产,退市
10000137,510050P1506M02900,50ETF沽2015年6月2.90,510050.SH,ETF期权,认沽,欧式,2.900,10000,2015-06,2015-04-08,2015-06-24,2015-06-24,2015-06-25,0.2072,实物资产,退市
10000138,510050P1506M02950,50ETF沽2015年6月2.95,510050.SH,ETF期权,认沽,欧式,2.950,10000,2015-06,2015-04-08,2015-06-24,2015-06-24,2015-06-25,0.2360,实物资产,退市
