date,HV5,HV10,HV20,HV60
2017-04-14,0.044,0.081,0.086,0.082
2017-04-17,0.053,0.079,0.082,0.082
2017-04-18,0.055,0.08,0.076,0.082
2017-04-19,0.057,0.052,0.079,0.079
2017-04-20,0.083,0.059,0.08,0.079
2017-04-21,0.087,0.067,0.077,0.079
2017-04-24,0.085,0.067,0.077,0.078
2017-04-25,0.075,0.07,0.071,0.077
2017-04-26,0.047,0.07,0.071,0.078
2017-04-27,0.043,0.071,0.071,0.077
2017-04-28,0.036,0.063,0.071,0.077
2017-05-02,0.041,0.064,0.071,0.077
2017-05-03,0.035,0.057,0.068,0.075
2017-05-04,0.035,0.047,0.052,0.075
2017-05-05,0.011,0.043,0.052,0.075
2017-05-08,0.037,0.037,0.053,0.074
2017-05-09,0.034,0.037,0.053,0.074
2017-05-10,0.04,0.037,0.054,0.073
2017-05-11,0.054,0.049,0.059,0.073
2017-05-12,0.1,0.092,0.082,0.08
2017-05-15,0.101,0.091,0.077,0.08
2017-05-16,0.09,0.086,0.077,0.08
2017-05-17,0.137,0.1,0.081,0.081
2017-05-18,0.142,0.101,0.078,0.076
2017-05-19,0.077,0.098,0.077,0.076
2017-05-22,0.099,0.103,0.08,0.078
2017-05-23,0.135,0.112,0.089,0.082
2017-05-24,0.105,0.115,0.09,0.082
2017-05-25,0.19,0.174,0.133,0.1
2017-05-26,0.201,0.168,0.134,0.1
2017-05-31,0.205,0.168,0.133,0.1
2017-06-01,0.202,0.167,0.131,0.099
2017-06-02,0.223,0.166,0.136,0.1
2017-06-05,0.118,0.181,0.144,0.103
2017-06-06,0.132,0.181,0.143,0.104
2017-06-07,0.149,0.182,0.145,0.105
2017-06-08,0.155,0.178,0.145,0.106
2017-06-09,0.136,0.175,0.145,0.106
2017-06-12,0.065,0.112,0.146,0.105
2017-06-13,0.08,0.112,0.14,0.105
2017-06-14,0.127,0.131,0.15,0.108
2017-06-15,0.11,0.131,0.153,0.109
2017-06-16,0.076,0.125,0.149,0.106
2017-06-19,0.16,0.13,0.154,0.11
2017-06-20,0.163,0.133,0.157,0.111
2017-06-21,0.156,0.135,0.158,0.111
2017-06-22,0.135,0.132,0.154,0.112
2017-06-23,0.121,0.134,0.155,0.111
2017-06-26,0.096,0.134,0.12,0.111
2017-06-27,0.042,0.134,0.12,0.111
2017-06-28,0.086,0.119,0.123,0.112
2017-06-29,0.087,0.108,0.123,0.112
2017-06-30,0.086,0.109,0.119,0.112
2017-07-03,0.093,0.1,0.113,0.111
2017-07-04,0.096,0.108,0.118,0.113
2017-07-05,0.167,0.126,0.128,0.118
2017-07-06,0.161,0.125,0.125,0.118
2017-07-07,0.16,0.121,0.124,0.118
2017-07-10,0.153,0.123,0.125,0.118
2017-07-11,0.121,0.133,0.13,0.119
2017-07-12,0.092,0.128,0.12,0.118
2017-07-13,0.129,0.144,0.124,0.122
2017-07-14,0.11,0.145,0.125,0.121
2017-07-17,0.119,0.135,0.118,0.12
2017-07-18,0.134,0.122,0.116,0.121
2017-07-19,0.139,0.12,0.122,0.124
2017-07-20,0.123,0.118,0.122,0.123
2017-07-21,0.158,0.141,0.132,0.127
2017-07-24,0.164,0.141,0.133,0.127
2017-07-25,0.171,0.146,0.136,0.128
2017-07-26,0.116,0.146,0.134,0.128
2017-07-27,0.11,0.128,0.133,0.128
2017-07-28,0.08,0.118,0.132,0.127
2017-07-31,0.049,0.118,0.128,0.127
2017-08-01,0.112,0.137,0.128,0.129
2017-08-02,0.104,0.114,0.119,0.129
2017-08-03,0.167,0.137,0.134,0.134
2017-08-04,0.176,0.129,0.137,0.135
2017-08-07,0.178,0.123,0.137,0.135
2017-08-08,0.116,0.119,0.132,0.132
2017-08-09,0.11,0.124,0.135,0.133
2017-08-10,0.071,0.125,0.124,0.134
2017-08-11,0.119,0.145,0.131,0.137
2017-08-14,0.143,0.154,0.135,0.137
2017-08-15,0.156,0.13,0.136,0.137
2017-08-16,0.153,0.128,0.123,0.137
2017-08-17,0.158,0.117,0.124,0.136
2017-08-18,0.075,0.116,0.119,0.136
2017-08-21,0.067,0.115,0.116,0.123
2017-08-22,0.084,0.126,0.119,0.124
2017-08-23,0.059,0.123,0.121,0.125
2017-08-24,0.086,0.124,0.122,0.125
