datetime,opt_type,short_opt_code,short_opt_volume,short_opt_price,short_opt_delta,long_opt_code,long_opt_volume,long_opt_price,long_opt_delta,profit_spread,money_ocupied,expected_return
2015-02-10 10:41:00,Call,10000001,10,0.2143,0.7176,10000002,11,0.1697,0.6678,927.2747,64899.0,0.0143
2015-02-10 10:43:00,Call,10000001,10,0.2134,0.7177,10000004,13,0.1111,0.5631,648.1998,60675.0,0.0107
2015-02-10 10:44:00,Call,10000001,10,0.2135,0.7149,10000003,12,0.1392,0.6128,684.3601,62936.0,0.0109
2015-02-10 10:45:00,Call,10000001,10,0.2135,0.715,10000041,16,0.0663,0.4551,702.8739,56840.0,0.0124
2015-02-10 10:46:00,Call,10000001,10,0.2135,0.714,10000004,13,0.1112,0.5589,664.722,60688.0,0.011
2015-02-10 10:50:00,Call,10000001,10,0.2086,0.7095,10000004,13,0.1094,0.5536,434.9655,60454.0,0.0072
2015-02-10 10:51:00,Call,10000001,10,0.2082,0.7077,10000004,13,0.1093,0.5514,419.1961,60441.0,0.0069
2015-02-10 10:52:00,Call,10000001,10,0.2086,0.7095,10000004,13,0.1092,0.5536,460.4735,60428.0,0.0076
2015-02-10 10:54:00,Call,10000001,10,0.2053,0.7031,10000005,14,0.0834,0.4931,472.1422,57908.0,0.0082
2015-02-10 10:55:00,Call,10000001,10,0.206,0.704,10000005,14,0.0834,0.4941,529.9628,57908.0,0.0092
2015-02-10 10:56:00,Call,10000001,10,0.2048,0.7077,10000003,12,0.1348,0.6046,353.1361,62408.0,0.0057
2015-02-10 10:58:00,Call,10000001,10,0.2077,0.7086,10000005,14,0.0846,0.4995,473.0481,58076.0,0.0081
2015-02-10 10:59:00,Call,10000001,10,0.2077,0.7068,10000005,14,0.0846,0.4973,495.697,58076.0,0.0085
2015-02-10 11:00:00,Call,10000001,10,0.2077,0.7096,10000005,14,0.0846,0.5006,461.1445,58076.0,0.0079
2015-02-10 11:01:00,Call,10000001,10,0.2077,0.7077,10000005,14,0.0835,0.4984,637.602,57922.0,0.011
