date,open,close,high,low,volume
2014-01-02,1570.05,1561.1,1570.05,1553.48,15725481.0
2014-01-03,1553.45,1536.07,1554.52,1529.15,21899228.0
2014-01-06,1534.5,1512.93,1534.5,1498.6,24918198.0
2014-01-07,1500.98,1510.65,1515.64,1497.78,15474083.0
2014-01-08,1512.09,1515.33,1527.89,1504.43,17721886.0
2014-01-09,1511.98,1503.88,1525.72,1500.57,16341305.0
2014-01-10,1500.01,1498.27,1506.78,1493.49,16932726.0
2014-01-13,1500.86,1494.61,1510.32,1489.23,17111060.0
2014-01-14,1493.89,1499.29,1505.46,1482.91,17662764.0
2014-01-15,1496.83,1488.51,1498.9,1480.18,14720357.0
2014-01-16,1489.05,1493.09,1504.43,1482.76,17440886.0
2014-01-17,1487.8,1475.67,1489.6,1470.86,18005644.0
2014-01-20,1472.39,1464.84,1476.89,1459.45,12775697.0
2014-01-21,1467.15,1478.88,1488.71,1467.15,12677469.0
2014-01-22,1480.84,1514.12,1514.79,1478.08,24158840.0
2014-01-23,1511.79,1499.03,1514.97,1496.66,17430476.0
2014-01-24,1493.69,1502.06,1514.11,1491.02,18976131.0
2014-01-27,1491.82,1478.86,1491.82,1475.5,19023414.0
2014-01-28,1483.41,1487.8,1492.43,1477.25,14945762.0
2014-01-29,1493.21,1494.49,1498.57,1488.7,14787466.0
2014-01-30,1489.51,1477.34,1489.72,1475.77,12769343.0
2014-02-07,1467.36,1475.34,1475.72,1458.49,13826210.0
2014-02-10,1480.59,1505.83,1507.36,1480.53,24276844.0
2014-02-11,1505.66,1528.32,1536.46,1500.84,34209193.0
2014-02-12,1528.88,1527.0,1537.89,1521.27,23813775.0
2014-02-13,1525.53,1528.02,1548.62,1519.38,35240635.0
2014-02-14,1527.21,1534.24,1536.35,1525.15,21235733.0
2014-02-17,1545.18,1538.1,1549.91,1529.19,26930011.0
2014-02-18,1535.89,1508.54,1535.89,1505.42,25307624.0
2014-02-19,1507.49,1533.4,1541.45,1504.95,31626301.0
2014-02-20,1537.94,1520.14,1556.42,1519.36,36126352.0
2014-02-21,1517.92,1505.33,1521.77,1496.09,24240112.0
2014-02-24,1492.29,1468.06,1492.29,1458.17,28884800.0
2014-02-25,1469.26,1440.89,1475.97,1437.01,26171360.0
2014-02-26,1434.86,1444.2,1447.17,1429.61,23252527.0
2014-02-27,1449.14,1452.46,1462.12,1437.64,32468581.0
2014-02-28,1447.77,1464.32,1467.1,1437.31,25940215.0
2014-03-03,1459.86,1462.69,1467.71,1452.14,29839841.0
2014-03-04,1458.68,1464.28,1468.46,1448.69,26258047.0
2014-03-05,1466.01,1448.33,1466.96,1445.67,20358460.0
2014-03-06,1446.57,1459.51,1466.03,1435.94,25216212.0
2014-03-07,1456.09,1455.58,1472.07,1451.71,23460842.0
2014-03-10,1442.98,1408.87,1442.99,1407.49,25305103.0
2014-03-11,1406.07,1412.73,1420.9,1403.31,18897920.0
2014-03-12,1408.05,1418.7,1429.3,1403.28,22718450.0
2014-03-13,1425.84,1437.39,1451.29,1421.69,26479447.0
2014-03-14,1429.78,1426.4,1438.67,1416.68,19666093.0
2014-03-17,1435.27,1434.16,1438.37,1421.42,14989974.0
2014-03-18,1437.54,1427.63,1438.93,1425.74,18024432.0
2014-03-19,1422.34,1418.71,1422.34,1406.55,16022532.0
2014-03-20,1415.67,1406.92,1432.51,1406.26,20559043.0
2014-03-21,1402.81,1464.08,1468.94,1402.18,43418380.0
2014-03-24,1468.81,1477.53,1486.85,1462.18,41906670.0
2014-03-25,1473.18,1470.12,1483.32,1464.54,25581277.0
2014-03-26,1476.25,1467.08,1480.14,1462.57,19912065.0
2014-03-27,1464.17,1464.53,1486.37,1450.45,25860585.0
2014-03-28,1465.03,1472.05,1483.59,1463.53,26014582.0
2014-03-31,1473.15,1465.78,1477.88,1457.83,19574163.0
2014-04-01,1463.71,1473.14,1481.01,1461.18,16689133.0
2014-04-02,1475.94,1491.3,1492.75,1473.83,23380826.0
2014-04-03,1498.11,1477.49,1504.54,1476.02,25966371.0
2014-04-04,1471.49,1490.33,1491.05,1469.7,15880614.0
2014-04-08,1488.65,1534.75,1543.41,1488.06,43360180.0
2014-04-09,1535.21,1530.88,1539.74,1525.1,24623137.0
2014-04-10,1532.22,1570.4,1587.62,1522.49,48526797.0
2014-04-11,1568.24,1565.31,1576.94,1557.51,37400535.0
2014-04-14,1562.19,1557.7,1568.53,1547.86,21017960.0
2014-04-15,1550.43,1523.22,1550.53,1521.0,24074616.0
2014-04-16,1519.24,1527.05,1536.93,1518.43,19120480.0
2014-04-17,1533.07,1520.56,1534.6,1517.05,16258763.0
2014-04-18,1513.68,1521.28,1524.73,1503.64,19374806.0
2014-04-21,1510.18,1493.76,1526.02,1493.25,18973489.0
2014-04-22,1492.08,1509.55,1510.87,1487.77,20505337.0
2014-04-23,1504.54,1507.89,1514.73,1502.64,17776277.0
2014-04-24,1506.59,1510.29,1523.25,1504.19,15914943.0
2014-04-25,1516.69,1501.05,1522.24,1500.6,24027518.0
2014-04-28,1499.69,1483.78,1505.11,1481.71,19552668.0
2014-04-29,1484.01,1496.01,1497.67,1478.51,18788963.0
2014-04-30,1499.12,1494.81,1500.35,1491.44,18873917.0
2014-05-05,1490.1,1487.53,1493.85,1473.03,19579225.0
2014-05-06,1484.01,1485.25,1497.71,1480.67,17532245.0
2014-05-07,1481.94,1476.18,1485.49,1475.31,15912907.0
2014-05-08,1474.73,1478.72,1499.74,1471.65,17262686.0
2014-05-09,1482.32,1480.74,1486.89,1474.52,15391907.0
2014-05-12,1492.63,1508.39,1513.12,1483.46,28201708.0
2014-05-13,1507.0,1503.52,1510.89,1498.4,20104583.0
2014-05-14,1504.42,1500.82,1510.33,1498.6,15282141.0
2014-05-15,1499.22,1488.77,1503.09,1487.1,16133879.0
2014-05-16,1489.5,1487.73,1493.19,1480.83,13466178.0
2014-05-19,1482.04,1459.21,1482.17,1454.41,15755377.0
2014-05-20,1466.05,1460.82,1468.9,1456.44,12435341.0
2014-05-21,1454.49,1474.14,1474.94,1447.94,11916952.0
2014-05-22,1472.34,1471.55,1493.18,1469.42,15512533.0
2014-05-23,1472.41,1484.38,1484.59,1471.23,11885465.0
2014-05-26,1493.34,1486.05,1495.78,1480.69,12091190.0
2014-05-27,1484.82,1479.73,1488.67,1478.31,12501447.0
2014-05-28,1479.49,1491.76,1493.15,1474.85,15571024.0
2014-05-29,1492.66,1484.31,1497.68,1483.81,14290967.0
2014-05-30,1485.1,1482.1,1490.06,1478.0,13602374.0
2014-06-03,1482.44,1477.52,1491.04,1476.74,13040820.0
2014-06-04,1478.2,1466.39,1478.44,1459.53,13653074.0
2014-06-05,1465.54,1484.24,1484.71,1463.04,12765741.0
2014-06-06,1484.52,1472.27,1484.52,1464.53,12020464.0
2014-06-09,1466.64,1475.35,1489.77,1466.15,13456800.0
2014-06-10,1479.86,1493.53,1493.94,1474.2,18966584.0
2014-06-11,1489.37,1488.76,1493.13,1483.51,12992231.0
2014-06-12,1486.89,1483.86,1490.01,1481.83,14076433.0
2014-06-13,1483.58,1502.96,1509.02,1483.44,21900084.0
2014-06-16,1503.66,1518.7,1521.96,1501.33,24038815.0
2014-06-17,1512.46,1501.94,1512.46,1500.33,16461471.0
2014-06-18,1501.19,1495.43,1504.5,1493.72,15523856.0
2014-06-19,1496.66,1478.04,1500.99,1473.67,16938157.0
2014-06-20,1475.94,1484.48,1485.17,1474.44,13385161.0
2014-06-23,1483.66,1475.76,1489.31,1474.93,13056322.0
2014-06-24,1471.73,1480.13,1481.15,1470.59,12659980.0
2014-06-25,1477.09,1469.95,1477.09,1466.4,11714189.0
2014-06-26,1471.65,1478.01,1480.83,1471.61,13039322.0
2014-06-27,1475.72,1473.76,1480.82,1468.21,16320840.0
2014-06-30,1475.72,1482.41,1486.95,1475.72,16568445.0
2014-07-01,1486.79,1481.66,1488.14,1476.39,15197377.0
2014-07-02,1481.33,1484.84,1486.41,1476.58,16722725.0
2014-07-03,1481.85,1489.55,1492.1,1479.06,17188506.0
2014-07-04,1489.82,1492.46,1495.04,1489.46,15844620.0
2014-07-07,1493.07,1492.84,1497.72,1488.51,15969802.0
2014-07-08,1491.72,1491.96,1493.83,1484.13,13725069.0
2014-07-09,1490.94,1475.14,1491.97,1474.87,18727134.0
2014-07-10,1475.18,1471.17,1478.71,1468.73,16574428.0
2014-07-11,1462.35,1468.54,1474.07,1460.91,18217829.0
2014-07-14,1468.69,1482.78,1482.99,1466.41,19829693.0
2014-07-15,1481.11,1484.66,1487.2,1478.44,21572336.0
2014-07-16,1482.33,1483.18,1490.19,1480.59,24542177.0
2014-07-17,1479.12,1473.67,1479.29,1468.38,16484741.0
2014-07-18,1466.58,1478.76,1486.27,1464.75,20901979.0
2014-07-21,1478.72,1479.84,1483.62,1474.8,16760296.0
2014-07-22,1476.22,1495.93,1500.5,1475.6,24840828.0
2014-07-23,1495.25,1506.76,1512.37,1494.93,28578207.0
2014-07-24,1508.98,1541.9,1546.19,1508.98,44311527.0
2014-07-25,1546.52,1557.02,1557.58,1541.3,31206105.0
2014-07-28,1566.33,1609.48,1617.48,1566.33,66664105.0
2014-07-29,1610.91,1611.85,1621.06,1601.98,46806231.0
2014-07-30,1606.72,1601.38,1619.18,1598.26,44338155.0
2014-07-31,1602.67,1621.85,1622.65,1597.27,34743916.0
2014-08-01,1616.79,1607.97,1639.32,1607.56,44267504.0
2014-08-04,1614.9,1644.63,1644.96,1608.31,44540974.0
2014-08-05,1644.23,1632.41,1646.32,1622.03,33190832.0
2014-08-06,1624.03,1619.01,1626.92,1602.99,32836371.0
2014-08-07,1619.2,1593.42,1623.0,1592.04,35582567.0
2014-08-08,1595.19,1595.66,1600.8,1586.09,28411625.0
2014-08-11,1601.31,1619.25,1621.71,1600.68,27728836.0
2014-08-12,1615.14,1607.91,1615.14,1601.56,24999882.0
2014-08-13,1609.46,1610.14,1619.19,1596.22,30104195.0
2014-08-14,1610.39,1596.84,1614.58,1595.17,27945673.0
2014-08-15,1598.52,1612.0,1615.88,1593.22,27406589.0
2014-08-18,1614.22,1613.13,1623.9,1607.44,26290498.0
2014-08-19,1614.39,1609.09,1615.21,1598.06,28400783.0
2014-08-20,1605.5,1600.34,1605.51,1596.96,24108182.0
